Zeitstempel,Age,Experience [Escape Rooms],Experience [Chatbots],Experience [Text-Adventure Games],Experience [Computer Games],Experience [English Language]
14.06.2023 14:06:52,24,a little experienced,no experience,no experience,a little experienced,a little experienced
14.06.2023 22:24:07,21,a little experienced,very experienced,no experience,very experienced,very experienced
13.06.2023 15:16:50,27,a little experienced,a little experienced,no experience,very experienced,very experienced
14.06.2023 13:45:23,20,a little experienced,a little experienced,no experience,a little experienced,very experienced
15.06.2023 00:00:26,25,a little experienced,very experienced,no experience,very experienced,very experienced
10.06.2023 16:40:06,31,a little experienced,very experienced,a little experienced,very experienced,very experienced
13.06.2023 07:48:12,26,a little experienced,a little experienced,no experience,a little experienced,very experienced
13.06.2023 14:38:00,21,very experienced,a little experienced,very experienced,very experienced,very experienced
13.06.2023 17:48:48,23,a little experienced,no experience,a little experienced,a little experienced,no experience
14.06.2023 11:16:15,22,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 20:44:18,21,a little experienced,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 21:33:39,20,a little experienced,a little experienced,a little experienced,a little experienced,very experienced
14.06.2023 22:35:22,24,no experience,a little experienced,no experience,very experienced,very experienced
15.06.2023 00:23:18,22,a little experienced,a little experienced,very experienced,very experienced,very experienced
