Zeitstempel,Age,Experience [Escape Rooms],Experience [Chatbots],Experience [Text-Adventure Games],Experience [Computer Games],Experience [English Language]
14.06.2023 23:34:18,22,no experience,no experience,no experience,a little experienced,very experienced
14.06.2023 23:50:51,22,no experience,no experience,no experience,a little experienced,very experienced
15.06.2023 00:15:55,22,no experience,no experience,no experience,a little experienced,very experienced
13.06.2023 05:40:17,28,no experience,a little experienced,a little experienced,very experienced,very experienced
13.06.2023 06:25:48,28,no experience,a little experienced,a little experienced,very experienced,very experienced
14.06.2023 10:10:23,28,a little experienced,a little experienced,a little experienced,very experienced,very experienced
13.06.2023 12:47:58,24,a little experienced,no experience,no experience,a little experienced,very experienced
13.06.2023 19:19:17,24,a little experienced,no experience,no experience,a little experienced,very experienced
13.06.2023 20:40:44,24,a little experienced,no experience,no experience,a little experienced,very experienced
10.06.2023 22:34:39,21,a little experienced,a little experienced,a little experienced,very experienced,very experienced
10.06.2023 22:55:39,21,a little experienced,a little experienced,a little experienced,very experienced,very experienced
10.06.2023 23:19:31,21,a little experienced,a little experienced,a little experienced,very experienced,very experienced
14.06.2023 10:15:02,24,a little experienced,a little experienced,no experience,no experience,very experienced
14.06.2023 10:35:22,24,a little experienced,a little experienced,no experience,no experience,very experienced
14.06.2023 11:06:25,24,a little experienced,a little experienced,no experience,no experience,very experienced
14.06.2023 18:50:59,20,no experience,no experience,no experience,very experienced,very experienced
14.06.2023 19:47:33,20,no experience,no experience,no experience,very experienced,very experienced
14.06.2023 20:58:31,20,no experience,no experience,no experience,very experienced,very experienced
11.06.2023 13:27:11,23,a little experienced,a little experienced,no experience,a little experienced,very experienced
11.06.2023 14:12:14,23,a little experienced,a little experienced,no experience,a little experienced,very experienced
13.06.2023 16:32:01,23,a little experienced,a little experienced,no experience,a little experienced,very experienced
14.06.2023 13:49:43,24,a little experienced,no experience,no experience,very experienced,a little experienced
14.06.2023 14:17:39,24,a little experienced,no experience,no experience,a little experienced,a little experienced
13.06.2023 22:39:26,21,a little experienced,very experienced,no experience,very experienced,very experienced
13.06.2023 23:17:08,21,a little experienced,very experienced,no experience,very experienced,very experienced
13.06.2023 08:38:56,27,very experienced,a little experienced,no experience,very experienced,very experienced
13.06.2023 09:27:11,27,very experienced,a little experienced,no experience,very experienced,very experienced
13.06.2023 09:50:21,27,very experienced,a little experienced,no experience,very experienced,very experienced
14.06.2023 11:38:58,25,very experienced,very experienced,a little experienced,very experienced,very experienced
14.06.2023 12:07:41,25,very experienced,very experienced,a little experienced,very experienced,very experienced
14.06.2023 12:22:01,25,very experienced,very experienced,a little experienced,very experienced,very experienced
13.06.2023 11:03:23,27,a little experienced,a little experienced,no experience,a little experienced,a little experienced
13.06.2023 11:57:54,27,a little experienced,a little experienced,no experience,a little experienced,a little experienced
13.06.2023 13:23:57,27,a little experienced,a little experienced,no experience,a little experienced,a little experienced
13.06.2023 16:20:37,21,no experience,no experience,a little experienced,a little experienced,a little experienced
14.06.2023 19:19:52,21,a little experienced,a little experienced,a little experienced,a little experienced,a little experienced
14.06.2023 21:01:17,21,very experienced,very experienced,a little experienced,very experienced,a little experienced
12.06.2023 13:09:52,23,no experience,a little experienced,a little experienced,a little experienced,very experienced
