Do you have any positive comments?,Do you have any negative comments?,Do you have any other additional comments?
Nice background picture,"I don't know what to combine the rope with and I can't simply say ""look around"" or ""what's around me"" to get an idea of what I could pick up.",
Very nice chatbot implementation - it seems very advanced in terms of game mechanics.,"A few things - you can't answer a numeric question with ""one"" but only with ""1"". Otherwise the bot would answer something completely different which leads to confusion. Also, for my taste, the riddles are a bit too hard (i.e. lock combinations).",
Nice game idea,"Basic interaction with the game feels unintuitive. ""Looking around"" in the room at the beginning leads to losing the game, you have to ""search it"". The introductory message talks about asking inmates and you're not sure whether that makes sense but you can't ask inmates. Suddenly you're in the laundry - it's not really realistic to find a note with 5 riddles in the bin, but that's ok. Entity matching doesn't work smoothly - you sometimes have to type the full item names (i.e. dirty [...] basked instead of just basket). By improving these thinks, I think you can make a cool game.",
I like that the game is complete.,"The riddles are too simple, and expects a simple answer. Some elements are case sensitive such as ""rope"". I can only provide a simple predefined prompts, NLU is not utilized, as much. ",
The story is captivating.,"It is not clear, how the player should provide the sequence to the lady in the canteen. The response of the game is ""What is g?"" It doesn't make sense. Although the name is extracted successfully, the game still says ""Nobody"". The game says I can examine the food trays but I am unable to do so. ",
,,
I am glad to have finished the game,There are some grammatical errors,In the last challenge I escaped the room by predicting that we had to use a key. So I didn't get to see what the third puzzle actually was.
I like the story a lot !,The game ended unexpectedly after typing something :(,Sometimes I forgot what was around so I had to scroll up many times
I like the navigation system of the game!,The first text was in my opinion quite long which made me feel a bit overwhelmed.,I think I got the right numbers to unlock the kitchen locker but I didn't get the sequence right.
I really like the game design with the prison optic. You have the impression to write with a  jail inmate instead of a robot. Also the story and writing style is great in general. really nice descriptions of the enviornment so you get a visual image of where you are,"It isn't always clear what you have to do next and you have to be super careful how you write your phrases which makes it difficult to play, because you don't really know what kind of answer the chatbot wants",not really
"The riddles are nice and not too simple, but still doable. ",The game doesn't always recognize the words or names,no
The idea is nice. The plot twists keep it entertaining,It has some spelling mistakes...And it's really confusing. I have the impression if getting random answers and game overs ,"It's really fun, but also confusing."
"I liked the game, it was fun :D",I don't know if I just got the end wrong but it didn't get my name and always said that there is nothing like my name in the room ,
,I was very confused at some points and didn't manage to finish the game in time ,Maybe more hints would be helpful 
I really like the idea,I was a bit lost at some point - I couldn't figure out the Mensa-lady riddle ,"Maybe some more hints. At some point the game started again and called me ""chilli"" while I was trying to solve the Mensa-lady riddle "
"The recognition of the text that you give the bot works very well -> i havent had any problems with the bot not recognizing my input, which made the playing experience very smooth and generaly enjoyable ","I wasnt able to finish tthe game properly -> I got stuck in the basement where you had to solve the riddles
Although I enjoyed the riddles themselves, having to think for a brief moment so sovle them. I couldnt figure out the sentence the game wanted in order to get the key. If I havent overread an obvious hint, I would suggest giving the user an orientation of what the sentence should be like, since there are so many options to form a sentence with the three words from the riddles. Having to guess sentence after sentence and still not figuring out the correct one becomes frustrating very quickly",
"the texts of the game are very well written and allowed for great immersion and imagination of the world you wanted to create. this made playing the game much more enjoyable and fun. 
Also I found the playing experience much more entertaining because of this, despite the story and setting itself being quite basic. ","it often wasnt that clear what the input should be to advance in the game. E.g i didnt know how to get into the library -> the text you get by cracking the locker was again imaginative and well written put i had no clue what to do next
same with the canteen riddle-> solving the riddle wasnt the problem but i wasnt able to put the answer i thought was correct into an correct input for the bot to undersand or generally had no idea how to communicate with the bot accordingly in that scenario",
i like the story of your game. i thinks its quite creative and also the text outputs of the bot add to the immersion of the game which enhances the playing experince and makes the setting enjoyable. ,sometimes its kinda hard to come up with the correct input that the bot needs in order to progress in the game or its not quite clear how to interact with the bot to progress. In some cases it was just lacking nlu data or stories but other times it was unclear what to do. E.g in the second room figuring out how to open the door prooved to be quite difficult due to not being clear how to interact with ELIAS,
,,"I think the structure of the puzzles is a bit too straight forward and the next steps were too easy/clear, maybe you could add some ""dead ends"". Anyway, a nice little escape game :)
Most of my inputs were recognized very well but full sentence like ""use the rope for the mountains"" were not recognized (I had to write ""use rope mountain"")."
I really enjoyed to solve the puzzles in the first room.,"Unfortunately I couldn't complete the game as I was stuck to solve the second room. I coudn't ask fo help or a hint. And my inputs were no longer recognized in a helpfulw way , so it got stuck in loops were only the welcome message was shown or I got no output. After 20 minutes I quit the game.",
Inputs were recognized well. Story was not affected by misunderstandings.,,Maybe the story could be a little embellished.
,game is not fun and creative. Just simple riddles with no context,
,,
The communication between the bot and the player is very intuitive and logical,"In my opinion, there are not enough puzzles/rooms and the puzzles present are way too simple","When you try to open the lock on the bridge in the last room using the command ""combine key with lock"" it doesnt seem to work. The expected input is ""combine key with bridge"". Maybe allow the first command to work as well, since it is more intuitive imo"
"I liked most puzzles in the game. The ones with the ""blood"" and ""red sea"" as their answers are a bit too easy imo",At times it was not very intuitive what to do next,
Well.... There where questions?,"Please for the love of god, do riddles that are possible to solve with the informations available inside the chatbot.
Tell a Story as well. Like what was this? I am in a room with a lock? Where, why, how do i feel? Nothing.

This chatbot should tell a story. Be a challenge, be creative or anything else. this was .... nothing of it. It looks like you coded 2h and called it a day.

Please make it better for the next time. Seriously.",I hope this was only the Prototype and your real bot is something else :)
"I like the setting a lot and the storyline.
It feels a little bit more like a Escape Room, then other Chatbots.

good atmosphere ","No support System when struggling with tasks(hints)

Not broad enough awnsers are possible for the same interaction (Unscrew the Screw, open the toilet with the screwdriver, use screwdriver etc)

Some texts are perfect, some need more emotions... maybe work with what you hear from the person and make it interchangeable:
example:
random_select_panting = randint(0, len(select_panting)-1)
return_string = f""{select_panting[random_select_panting]} you hear his steps on a concret floor as he goes to {item} [the answer]""

nudge people more, to write the sentences that you prepared for.

Overall though, it was a good Chatbot, i think next time around you have something to be proud of. :)","Overall good ideas. Unfortunately not implemented perfectly just now, but it shows hints of greatness! Would be a perfect 2d game "
